Объект;Название ОИ;ДЦ источник;№ОИ;UID;ДЦ получатель;№ОИ;UID;Комментарии;передача в ИА
АЭС Балаковская АЭС;БАЭС ВЛ-500кВ БАЭС-Куйбышевск 1-Ubc;Саратовское РДУ;10776;6c11432f-701b-4d68-994d-cbc7ef448313;ОДУ Средней Волги;7532;0d82b7ce-e5b4-4c14-b2cf-46b9cae5f964;Несоответсвие привязки в ИМ;False
АЭС Балаковская АЭС;БАЭС ВЛ-500кВ БАЭС-Куйбышевск 1-Uca;Саратовское РДУ;10777;566c8701-2d7e-4df6-822f-594453933a0f;ОДУ Средней Волги;7533;0d82b7ce-e5b4-4c14-b2cf-46b9cae5f964;Несоответсвие привязки в ИМ;False
ПС 220 кВ Комсомолец;СамЭС U220 Комсомолец - Новоотрадная1;Самарское РДУ;1037;df4515e8-8d61-41b0-895d-1e54eb9fb807;ОДУ Средней Волги;1788;ff24362a-ca3d-45f5-9e35-c48c524bd64b;Несоответсвие привязки в ИМ;True
ПС 220 кВ Комсомолец;СамЭС U220 Комсомолец - Новоотрадная2;Самарское РДУ;1038;24d0b098-0cc1-4075-b6ca-fa5b7ddc8743;ОДУ Средней Волги;1789;8a856999-5e7a-4cac-89a3-6a4d5845b508;Несоответсвие привязки в ИМ;False
ПС 500 кВ Щёлоков;ВЛ 500 кВ Удмуртская - Щёлоков ТН-1 Uab;РДУ Татарстана;6900;0a6c7d26-01f5-41d8-8d26-b92084cc7f34;ОДУ Средней Волги;8755;86be1cd3-3ac1-4168-98a4-9a079383b737;Несоответсвие привязки в ИМ;False
ПС 500 кВ Щёлоков;ВЛ 500 кВ Удмуртская - Щёлоков ТН-1 Ubc;РДУ Татарстана;6901;6e5b704d-a59b-48fb-b1df-c5fb318f5faf;ОДУ Средней Волги;8756;86be1cd3-3ac1-4168-98a4-9a079383b737;Несоответсвие привязки в ИМ;False
ПС 500 кВ Щёлоков;ВЛ 500 кВ Удмуртская - Щёлоков ТН-1 Uca;РДУ Татарстана;6902;98b125b3-f2d3-40cf-a8ec-8b91602a1e13;ОДУ Средней Волги;8757;86be1cd3-3ac1-4168-98a4-9a079383b737;Несоответсвие привязки в ИМ;False
ПС 500 кВ Щёлоков;ПС 500 Щёлоков ВЛ 500 кВ Нижнекамская ГЭС - Щёлоков ТН-1 Uab;РДУ Татарстана;6908;d8c3f60b-9bcc-4577-91e0-fd52c62e5ff9;ОДУ Средней Волги;8763;7b2517af-30e6-4de6-a11d-b09e9eda2fda;Несоответсвие привязки в ИМ;False
ПС 500 кВ Щёлоков;ПС 500 Щёлоков ВЛ 500 кВ Нижнекамская ГЭС - Щёлоков ТН-1 Ubc;РДУ Татарстана;6909;625563ba-36e0-499f-846d-bfad94ffb153;ОДУ Средней Волги;8764;7b2517af-30e6-4de6-a11d-b09e9eda2fda;Несоответсвие привязки в ИМ;False
ПС 500 кВ Щёлоков;ПС 500 Щёлоков ВЛ 500 кВ Нижнекамская ГЭС - Щёлоков ТН-1 Uca;РДУ Татарстана;6910;3bb93406-8f45-45b1-8855-be0454c8b76e;ОДУ Средней Волги;8765;7b2517af-30e6-4de6-a11d-b09e9eda2fda;Несоответсвие привязки в ИМ;False
ПС 500 кВ Щёлоков;ПС 500 кВ Щёлоков ТН 1 СШ 110 кВ Uab;РДУ Татарстана;6963;6558314c-6c3d-426d-b943-b91e3c43868e;ОДУ Средней Волги;8818;d6f5c37a-104c-4ed5-9c1d-a3595751d779;Несоответсвие привязки в ИМ;True
ПС 500 кВ Щёлоков;ПС 500 кВ Щёлоков ТН 2 СШ 110 кВ Uab;РДУ Татарстана;6967;5effbb79-2457-421a-9676-5c53c1f7205b;ОДУ Средней Волги;8821;f54c56c0-d366-464d-b839-c74e4d32d765;Несоответсвие привязки в ИМ;True
ТЭЦ Саровская ТЭЦ;НЭС P ВЛ 110 кВ СаровТЭЦ - Первомайская;Нижегородское РДУ;14519;93fca1b3-7e45-4f1b-8d13-7173af7c8568;ОДУ Средней Волги;9581;a95942a6-d723-47d6-a9b7-f682a2c7c21f;Несоответсвие привязки в ИМ;False
ТЭЦ Саровская ТЭЦ;НЭС Q ВЛ 110 кВ СаровТЭЦ - Первомайская;Нижегородское РДУ;14520;46c60196-1298-4f71-bdde-475d8117e54b;ОДУ Средней Волги;9582;1d12fe5d-a606-4762-b949-5b0e6080abca;Несоответсвие привязки в ИМ;False
ТЭЦ Саровская ТЭЦ;НЭС Q ВЛ 110 кВ СаровТЭЦ - Дивеево;Нижегородское РДУ;15009;2b45d7d6-957e-4b7d-ae3e-3cf13423f625;ОДУ Средней Волги;9584;7601bfea-7715-4883-ae1f-5df61da2df92;Несоответсвие привязки в ИМ;False
ПС 110 кВ Атяшево;МЭС P ВЛ 110 кВ Атяшево-Ардатов;Пензенское РДУ;18659;17aa1a14-1822-45de-808f-6da1a41ea5ad;ОДУ Средней Волги;9607;cef01f87-f7ec-41bd-93a8-20b99aea5fbc;Несоответсвие привязки в ИМ;False
ПС 110 кВ Атяшево;МЭС Q ВЛ 110 кВ Атяшево-Ардатов;Пензенское РДУ;18660;b7401f8e-6c47-4a02-b171-2afa08cffdad;ОДУ Средней Волги;9608;b41dfccc-9260-48e7-9e41-0c282bbdb967;Несоответсвие привязки в ИМ;False
ПС 500 кВ Арзамасская;Uaв ВЛ 500 кВ Арзамасская - Осиновка (н);ОДУ Средней Волги;10257;896dd9c2-aeae-4da5-81c5-489b4ddc05d0;РДУ Татарстана;4816;6f45d25a-55d6-43e9-a282-bcca595b2a3c;Несоответсвие привязки в ИМ;True
ПС 500 кВ Красноармейская;Красноармейская Uab ТН-2 500;Самарское РДУ;29917;413c3fe1-eab2-4377-8be7-7884da487930;ОДУ Средней Волги;10626;00beef02-61c6-4a50-bbd5-86a82bdbce8b;Несоответсвие привязки в ИМ;True
ПС 500 кВ Красноармейская;Красноармейская Ubc ТН-2 500;Самарское РДУ;29918;2b995aaa-13a6-49ea-9d38-ec34faa8d23f;ОДУ Средней Волги;10627;00beef02-61c6-4a50-bbd5-86a82bdbce8b;Несоответсвие привязки в ИМ;False
ПС 500 кВ Красноармейская;Красноармейская Uca ТН-2 500;Самарское РДУ;29919;431de2aa-0897-410c-beb1-c1fd26f9a8b8;ОДУ Средней Волги;10628;00beef02-61c6-4a50-bbd5-86a82bdbce8b;Несоответсвие привязки в ИМ;False
ПС 500 кВ Пенза-2;ПС 500 кВ Пенза-2 1 СШ 500 кВ Uab;Пензенское РДУ;5229;1e59cef8-d22f-405e-ad0b-98c22422120b;ОДУ Средней Волги;10894;ade57ecb-c29a-40e1-af75-428699563f40;Несоответсвие привязки в ИМ;True
ПС 500 кВ Пенза-2;ПС 500 кВ Пенза-2 1 СШ 500 кВ Ubс;Пензенское РДУ;5230;78fb66b1-6cdf-4914-9974-9a724610264a;ОДУ Средней Волги;10895;ade57ecb-c29a-40e1-af75-428699563f40;Несоответсвие привязки в ИМ;False
ПС 500 кВ Пенза-2;ПС 500 кВ Пенза-2 1 СШ 500 кВ Uсa;Пензенское РДУ;5231;5ab68272-595c-479b-adcb-ad22e41ca39b;ОДУ Средней Волги;10896;ade57ecb-c29a-40e1-af75-428699563f40;Несоответсвие привязки в ИМ;False
ПС 500 кВ Пенза-2;ПС 500 кВ Пенза-2 I СШ 220кВ Uab;Пензенское РДУ;5242;9a8f5c34-e164-4cb7-9de6-b7625d2eb867;ОДУ Средней Волги;10897;f4bead89-aa30-42dc-98ec-a7a9994c8b66;Несоответсвие привязки в ИМ;False
ПС 500 кВ Пенза-2;ПС 500 кВ Пенза-2 I СШ 220кВ Ubс;Пензенское РДУ;5243;0bc432d8-6892-4b26-91c2-5a07e1831a9c;ОДУ Средней Волги;10898;f4bead89-aa30-42dc-98ec-a7a9994c8b66;Несоответсвие привязки в ИМ;False
ПС 500 кВ Пенза-2;ПС 500 кВ Пенза-2 I СШ 220кВ Uсa;Пензенское РДУ;5244;af0e1094-c9f4-4575-95ab-cf06eddd9e77;ОДУ Средней Волги;10899;f4bead89-aa30-42dc-98ec-a7a9994c8b66;Несоответсвие привязки в ИМ;False
ПС 500 кВ Пенза-2;ПС 500 кВ Пенза-2 II СШ 220кВ Uab;Пензенское РДУ;5246;b37a68c8-f5f6-4157-8261-97d5982ca0a3;ОДУ Средней Волги;10900;60e9c182-e76b-49f2-9aa7-a31afd56f303;Несоответсвие привязки в ИМ;True
ПС 500 кВ Пенза-2;ПС 500 кВ Пенза-2 II СШ 220кВ Ubс;Пензенское РДУ;5247;24c0e06a-0c2d-4677-967b-0c2cd1f776db;ОДУ Средней Волги;10901;60e9c182-e76b-49f2-9aa7-a31afd56f303;Несоответсвие привязки в ИМ;False
ПС 500 кВ Пенза-2;ПС 500 кВ Пенза-2 II СШ 220кВ Uсa;Пензенское РДУ;5248;ecbd7682-9592-4eb2-a6c5-04cd0c811137;ОДУ Средней Волги;10902;60e9c182-e76b-49f2-9aa7-a31afd56f303;Несоответсвие привязки в ИМ;False
ПС 750 кВ Владимирская;ЦЕНТР P Владимир - Радуга сев.;ОДУ Средней Волги;626;acbf3286-033d-402c-b6f9-9b61d8223e4d;РДУ Татарстана;4826;35e31fdd-405a-49e9-821f-07d7222e8c48;Несоответсвие привязки в ИМ;False
