Объект;ДЦ источник;Название ОИ;Категория;№ОИ;UID OI;UID PO;ДЦ получатель;Название ОИ;Категория;№ОИ;UID OI;UID PO;Комментарии;передача в ИА
СО АО "СО ЕЭС";ОДУ Средней Волги;ЦДУ ЖГЭС СМАРТ КП АРЧМ Р;ТИ;13567;c20ae93a-80a7-4f55-a4f2-e7868ffafcbb;60f122d4-cbd1-499a-aa94-f226b3c880e6;Самарское РДУ;I38992;ТИ;38992;cd44c475-2cbe-41b8-8783-52d9e8621fb8;60f122d4-cbd1-499a-aa94-f226b3c880e6;Несоответсвие типа измерения: Нормативное значение и Значение типового дня (50 Гц);False
ПС 500 кВ Красноармейская;ОДУ Средней Волги;Обобщённое U500 Красноармейская;ТИ;9534;3229906a-8df6-4dfe-8f98-f4491b6e5ef5;2d835ff4-53a7-4399-80a8-37b396cf8682;РДУ Татарстана;11236;ТИ;11236;87ffbd17-a154-4b91-b02b-c0a07e9fb152;a2fbb58c-d6b9-488e-be01-d7f9206ee397;Несоответсвие привязки в ИМ;True
ПС 500 кВ Осиновка;ОДУ Средней Волги;Обобщённое U500 Осиновка;ТИ;9548;58bdbacc-8fae-4c58-9ed7-6cab061e7838;91838a66-3e8b-4486-9bdb-51f6c4766772;Самарское РДУ;I4247;ТИ;4247;1606b329-59c6-446a-b25b-7fec7c7006cf;74493dfa-5f3f-4289-83a9-d8b5fb0daff0;Несоответсвие привязки в ИМ;True
AS КПОС;Нижегородское РДУ;I30571;ТИ;30571;f0f00833-b89f-4c74-a5d4-28d8547c571f;ef9b9c63-989e-4737-9c7e-8fc7438c77b4;ОДУ Средней Волги;НЭС Сечение №1 НЭС;ТИ;1026;3d68c9a5-bfbd-491d-867b-4aa8eb641387;ef9b9c63-989e-4737-9c7e-8fc7438c77b4;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;True
ПС 500 кВ Пенза-2;Пензенское РДУ;I5434;ТИ;5434;d76e5aae-4989-4440-a99f-46a26e479440;fb1d2608-431b-4ecf-b761-b58804fb190d;ОДУ Средней Волги;ВЛ 220 кВ Пенза-2 - Сердобск I;ТИ;9656;e3133dd8-90bb-4215-9286-b019f207bedc;fb1d2608-431b-4ecf-b761-b58804fb190d;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
ПС 500 кВ Курдюм;Саратовское РДУ;I1043;ТИ;1043;3fc39e90-53bd-4ee0-ae5b-4e14f1262b5b;adc20be3-106a-4ce9-b524-04059dbbe3a9;ОДУ Средней Волги;СЭС I220 Курдюм-Аткарск 2;ТИ;9282;4da7be2a-ab1b-421f-bbb5-a1caeec63752;adc20be3-106a-4ce9-b524-04059dbbe3a9;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
ПС 500 кВ Курдюм;Саратовское РДУ;I1042;ТИ;1042;e92c4e11-99e0-4d1f-afce-d731aed1aa80;2be97d4c-f091-4de1-a58b-6ffa51f4e031;ОДУ Средней Волги;СЭС I220 Курдюм-Аткарск 1;ТИ;9281;79e89cec-8280-4a68-b02f-6876aa69a048;2be97d4c-f091-4de1-a58b-6ffa51f4e031;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
АЭС Балаковская АЭС;Саратовское РДУ;I10717;ТИ;10717;29c21daa-a49d-479e-a59b-784bf362e725;0c362330-015f-4784-a627-4311a0ebc17e;ОДУ Средней Волги;БАЭС ВЛ-220кВ БАЭС-Центральн.2-Iф.ср;ТИ;7488;fadf43df-a065-42f4-8272-3f3f54262636;0c362330-015f-4784-a627-4311a0ebc17e;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
АЭС Балаковская АЭС;Саратовское РДУ;I10685;ТИ;10685;5e9bb403-021e-4e55-ac8f-6d887add66ea;d52b4cb0-1174-43b3-839d-0c6d5f437d80;ОДУ Средней Волги;БАЭС ВЛ-220кВ БАЭС-Степная-Iф.ср.;ТИ;7484;fcfaa7bf-2316-4788-ab5c-5450282eeb0f;d52b4cb0-1174-43b3-839d-0c6d5f437d80;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;True
АЭС Балаковская АЭС;Саратовское РДУ;I10701;ТИ;10701;6f0b6e6a-5d5f-4e92-8d57-fb21c5907462;6b60d603-8644-4541-89f6-15b05014fb98;ОДУ Средней Волги;БАЭС ВЛ-220кВ БАЭС-Центральн.1-Iф.ср;ТИ;7486;2578a600-2476-485b-aa79-be2410d81b4c;6b60d603-8644-4541-89f6-15b05014fb98;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
ПС 500 кВ Пенза-2;Пензенское РДУ;I5431;ТИ;5431;8bdc5b54-3afd-46a9-a53e-b354ee5dc970;6755b986-af00-4f39-853f-0d6bafc377f5;ОДУ Средней Волги;ВЛ 220 кВ Пенза-2 - Пенза-1 (ВЛ 220 кВ Октябрьская) I;ТИ;9653;2572f02d-7a5e-426e-9911-242fb3b0fd4b;6755b986-af00-4f39-853f-0d6bafc377f5;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;True
АЭС Балаковская АЭС;Саратовское РДУ;I10834;ТИ;10834;f0d0e290-a924-4d6d-b540-df2dd41a261a;eb2caf4e-2c72-48b0-bcbd-16db9e4c5963;ОДУ Средней Волги;БАЭС ВЛ-500кВ БАЭС-Трубная-Iф.ср;ТИ;7586;7b5901a2-8f96-46ff-9de6-e29ea0ac06d9;eb2caf4e-2c72-48b0-bcbd-16db9e4c5963;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
ПС 500 кВ Тамбовская;ОДУ Средней Волги;Центр I ВЛ Тамбовская - Пенза-2;ТИ;2433;3dd2883a-af7e-40ec-aab5-c7b82f6566b7;d4e574ce-c600-473f-84dd-6f45acd39dd9;Пензенское РДУ;I752;ТИ;752;e14f1b9b-a689-474f-9a52-95108714ab82;a61a642f-adfd-4d6a-9cf4-6c7e10bc63a6;Несоответсвие привязки в ИМ;False
ГЭС Саратовская ГЭС;Саратовское РДУ;I24062;ТИ;24062;06ecd686-bc2c-451c-8773-2f1dad4c274d;1c5c73e3-4e42-40d6-a852-f9c9e1da4938;ОДУ Средней Волги;СарГЭС ТНВ Саратовская ГЭС по устройствам АОПО;ТИ;21711;1cf79357-fd5d-4704-a28a-15527c7d2a86;1c5c73e3-4e42-40d6-a852-f9c9e1da4938;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;True
ГЭС Жигулёвская ГЭС;Самарское РДУ;I39808;ТИ;39808;91d84b98-dd79-4ff1-88cd-504db62fcc80;fa247a8e-bba8-488c-87c3-cb6f02672910;ОДУ Средней Волги;ЖГЭС ТНВ ПА №1;ТИ;4055;d94003d8-9d6f-47f9-8802-f4358aadb342;fa247a8e-bba8-488c-87c3-cb6f02672910;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
ПС 500 кВ Щёлоков;РДУ Татарстана;Температура МКПА Ц1-2 1к [Щёлоков РЗА/ПА];ТИ;19025;2885fb21-8ac2-4737-ad2f-5dc51d0a55dd;ee8c2434-4e20-4e17-92b9-01b21492ddd5;ОДУ Средней Волги;ПС 500 кВ Щёлоков ТНВ МКПА Ц1-2 1к [Щёлоков РЗА/ПА];ТИ;19809;80bd94e6-afe5-4f6f-9f02-035a7b743116;ee8c2434-4e20-4e17-92b9-01b21492ddd5;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
ПС 500 кВ Осиновка;Нижегородское РДУ;I35102;ТИ;35102;f968b61d-9c65-4be4-b836-3d968ab0afaa;905b29cb-3998-4181-8919-a9f65321a93a;ОДУ Средней Волги;P ВЛ500 Арзамас-Осиновка ПС Осиновка;ТИ;9861;6e387955-0980-4ed1-9a60-fa616d404e1c;905b29cb-3998-4181-8919-a9f65321a93a;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
ГЭС Нижнекамская ГЭС;ОДУ Средней Волги;SР НкГЭС;ТИ;444;cb41c2b0-1538-4808-87e2-a8474e3d6e63;12840a88-eb7e-428d-9d29-4407ca84729b;Пензенское РДУ;I14879;ТИ;14879;9937a14e-19bf-4493-b72c-91b226c0ffd4;12840a88-eb7e-428d-9d29-4407ca84729b;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;True
ПС 500 кВ Курдюм;Саратовское РДУ;I15980;ТИ;15980;14074b0e-eb31-425f-a2f0-f421b3b1636e;263fb1b1-0e55-4a8a-9e4e-17bfa3f26325;ОДУ Средней Волги;СЭС ТНВ Курдюм;ТИ;14593;011cfac9-50b3-43e5-a738-61b04e8b69c2;263fb1b1-0e55-4a8a-9e4e-17bfa3f26325;Несоответсвие типа измерения: Фактическое значение и Контролируемое значение;False
